Echinodermata	Crinoidea	Comatulida	Comatulidae	Anneissia	Anneissia japonica
Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
Chordata	Mammalia	Rodentia	Spalacidae	Nannospalax	Nannospalax galili
Chordata	Mammalia	Rodentia	Castoridae	Castor	Castor canadensis
Chordata	Mammalia	Rodentia	Dipodidae	Jaculus	Jaculus jaculus
Chordata	Mammalia	Rodentia	Chinchillidae	Chinchilla	Chinchilla lanigera
Chordata	Mammalia	Rodentia	Octodontidae	Octodon	Octodon degus
Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus
Chordata	Mammalia	Rodentia	Bathyergidae	Fukomys	Fukomys damarensis
Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber
Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus longimembris	Perognathus longimembris pacificus
Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys ordii
Chordata	Mammalia	Rodentia	Sciuridae	Ictidomys	Ictidomys tridecemlineatus
Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus carolinensis
Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus	Urocitellus parryii
Chordata	Mammalia	Rodentia	Sciuridae	Marmota	Marmota flaviventris
Chordata	Mammalia	Rodentia	Sciuridae	Marmota	Marmota monax
Chordata	Mammalia	Rodentia	Sciuridae	Marmota	Marmota marmota	Marmota marmota marmota
Chordata	Mammalia	Rodentia	Muridae	Grammomys	Grammomys surdaster
Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus
Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys coucha
Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones unguiculatus
Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus
Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus
Chordata	Mammalia	Rodentia	Muridae	Mus	Mus pahari
Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
Chordata	Mammalia	Rodentia	Muridae	Mus	Mus caroli
Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius
Chordata	Mammalia	Rodentia	Cricetidae	Myodes	Myodes glareolus
Chordata	Mammalia	Rodentia	Cricetidae	Onychomys	Onychomys torridus
Chordata	Mammalia	Rodentia	Cricetidae	Mesocricetus	Mesocricetus auratus
Chordata	Mammalia	Rodentia	Cricetidae	Cricetulus	Cricetulus griseus
Chordata	Mammalia	Rodentia	Cricetidae	Microtus	Microtus fortis
Chordata	Mammalia	Rodentia	Cricetidae	Microtus	Microtus ochrogaster
Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus maniculatus	Peromyscus maniculatus bairdii
Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus leucopus
Chordata	Mammalia	Carnivora	Hyaenidae	Hyaena	Hyaena hyaena
Chordata	Mammalia	Carnivora	Herpestidae	Suricata	Suricata suricatta
Chordata	Mammalia	Carnivora	Odobenidae	Odobenus	Odobenus rosmarus	Odobenus rosmarus divergens
Chordata	Mammalia	Carnivora	Otariidae	Eumetopias	Eumetopias jubatus
Chordata	Mammalia	Carnivora	Otariidae	Callorhinus	Callorhinus ursinus
Chordata	Mammalia	Carnivora	Otariidae	Zalophus	Zalophus californianus
Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca
Chordata	Mammalia	Carnivora	Ursidae	Ursus	Ursus maritimus
Chordata	Mammalia	Carnivora	Ursidae	Ursus	Ursus arctos
Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes lagopus
Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes
Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus	Canis lupus dingo
Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus	Canis lupus familiaris
Chordata	Mammalia	Carnivora	Phocidae	Neomonachus	Neomonachus schauinslandi
Chordata	Mammalia	Carnivora	Phocidae	Phoca	Phoca vitulina
Chordata	Mammalia	Carnivora	Phocidae	Leptonychotes	Leptonychotes weddellii
Chordata	Mammalia	Carnivora	Phocidae	Halichoerus	Halichoerus grypus
Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Mirounga angustirostris
Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Mirounga leonina
Chordata	Mammalia	Carnivora	Mustelidae	Neogale	Neogale vison
Chordata	Mammalia	Carnivora	Mustelidae	Enhydra	Enhydra lutris	Enhydra lutris kenyoni
Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra canadensis
Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela erminea
Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles
Chordata	Mammalia	Carnivora	Mustelidae	Lutra	Lutra lutra
Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi
Chordata	Mammalia	Carnivora	Felidae	Felis	Felis catus
Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx rufus
Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx canadensis
Chordata	Mammalia	Carnivora	Felidae	Prionailurus	Prionailurus viverrinus
Chordata	Mammalia	Carnivora	Felidae	Prionailurus	Prionailurus bengalensis
Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi
Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor
Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera uncia
Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris
Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera pardus
Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo
